path,disposition,basis
"reviews/REQUIREMENTS-v0.3-TARGET-ARCHITECTURE-v0.2-COMPATIBILITY.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/RUNTIME-v0.6-BEHAVIORAL-REGRESSION-REPAIR-CANDIDATE-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/RUNTIME-v0.6-REQUIREMENTS-v0.3-COMPILATION-SEMANTIC-REGRESSION-v0.1.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/SIX-SKILL-TOP-DOWN-BOTTOM-UP-REVIEW-v0.1.md","EXTRACT","material semantics extracted into compact active baseline before archival"
"reviews/SKILL-SOURCE-NORMALIZATION-v0.1-REVIEW.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/route-b/ROUTE-B-EXTERNAL-ARCHITECTURE-CHALLENGE.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/route-b/ROUTE-B-v0.3-CLOSURE-REVIEW.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/route-b/ROUTE-B-v0.4-STATIC-SOURCE-RECONCILIATION.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/route-b/ROUTE-B-v0.5-CHATGPT-CARRIER-ASSURANCE.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/route-b/ROUTE-B-v0.5-FAILURE-MODE-CLOSURE-REVIEW.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/route-b/ROUTE-B-v0.5-RUNTIME-FUNCTIONAL-ASSURANCE.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"reviews/route-b/RUNTIME-TRANSITION-INTEGRITY-PR25-MERGE-READINESS-REVIEW.md","LEGACY","historical/reference evidence preserved under explicit Legacy boundary"
"skills/DEPLOYMENT-CONTRACT.md","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
"skills/REGISTRY.md","PROMOTE","active entrypoint, exact CI source, registry or discovery/packaging carrier"
"skills/adaptive-exploration/SKILL.md","LEGACY","exact demoted Skill package preserved in archive"
"skills/adaptive-exploration/references/ADAPTIVE-EXPLORATION-METHOD.md","LEGACY","exact demoted Skill package preserved in archive"
"skills/decision-analysis/SKILL.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/decision-analysis/references/DECISION-ANALYSIS-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/evaluate-work-product/SKILL.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/evaluate-work-product/references/EVALUATE-WORK-PRODUCT-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/research-evidence/SKILL.md","LEGACY","exact demoted Skill package preserved in archive"
"skills/research-evidence/references/RESEARCH-EVIDENCE-METHOD.md","LEGACY","exact demoted Skill package preserved in archive"
"skills/system-development/SKILL.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/system-development/references/EXISTING-SYSTEM-RECOVERY-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/system-development/references/RCA-FAILURE-LOCALIZATION-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/system-development/references/REAL-USE-VALIDATION-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/system-development/references/REPOSITORY-PROMOTION-READBACK-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/system-development/references/RUNTIME-COMPILATION-SEMANTIC-REGRESSION-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/system-development/references/SYSTEM-ARCHITECTURE-REQUIREMENTS-METHOD.md","KEEP-SKILL","differentiated reusable method retained in active portfolio"
"skills/work-formation/SKILL.md","LEGACY","exact demoted Skill package preserved in archive"
"skills/work-formation/references/FORMATION-METHOD.md","LEGACY","exact demoted Skill package preserved in archive"

